0.026531	0.021769	0.021769	0.033673	0.050340	0.033673	0.812245	
0.083673	0.295578	0.050340	0.109864	0.364626	0.038435	0.057483	
0.026721	0.168208	0.026721	0.021925	0.568688	0.043508	0.144227	
0.180199	0.539911	0.036314	0.115450	0.031518	0.065091	0.031518	
0.798457	0.042589	0.040241	0.019115	0.035547	0.037894	0.026157	
0.287750	0.294876	0.073974	0.138107	0.076349	0.107228	0.021717	
0.317983	0.037983	0.348571	0.023866	0.188571	0.061513	0.021513	
0.047959	0.343197	0.288435	0.231293	0.033673	0.036054	0.019388	
0.036054	0.447959	0.074150	0.245578	0.017007	0.026531	0.152721	
0.046576	0.029545	0.197428	0.584289	0.068474	0.029545	0.044143	
0.021312	0.189144	0.331335	0.347652	0.053946	0.035298	0.021312	
0.075958	0.022300	0.444251	0.312544	0.046690	0.027178	0.071080	
0.025853	0.137222	0.023533	0.434206	0.109380	0.067617	0.202188	
0.056146	0.158472	0.021262	0.542193	0.142193	0.042193	0.037542	
0.105474	0.047063	0.140521	0.313418	0.203605	0.103138	0.086782	
0.026786	0.046016	0.019574	0.127747	0.476305	0.269574	0.033997	
0.029190	0.026786	0.029190	0.036401	0.639766	0.204670	0.033997	
0.081681	0.021873	0.062543	0.043404	0.646275	0.072112	0.072112	
0.040816	0.067007	0.255102	0.043197	0.083673	0.312245	0.197959	
0.050221	0.335256	0.185612	0.128605	0.145232	0.130981	0.024092	
0.069059	0.415030	0.213609	0.054841	0.102234	0.114083	0.031144	
0.027112	0.104970	0.027112	0.022245	0.066041	0.732708	0.019812	
0.077640	0.237060	0.191166	0.055901	0.159765	0.251553	0.026915	
0.241969	0.131921	0.026658	0.024265	0.024265	0.423787	0.127136	
