2	0	10	0	6	0	0	8	4	17	0	9	1	1	0	0	0	0	2	0	1	4	0	1	0	0	0	3	0	1	0	0	0	18	2	0	0	0	59	0	2	11	17	0	0	1	0	0	0	2929
3	0	12	0	5	0	1	5	0	18	2	7	1	0	0	0	0	0	0	0	0	4	1	0	0	0	1	32	0	11	0	0	11	26	7	0	0	0	37	6	2	2	11	0	3	1	0	9	0	2809
2	2	13	0	4	0	0	3	1	18	0	2	3	0	0	0	0	1	0	0	0	5	0	0	0	0	0	45	0	11	0	1	10	37	3	2	0	0	38	6	1	3	16	0	3	0	1	8	0	2779
0	0	11	1	6	0	6	0	0	15	3	33	0	6	0	0	0	0	0	0	0	14	0	0	0	41	0	0	0	0	0	0	0	4	22	1	0	7	67	0	0	7	8	0	2	18	0	1	0	2663
0	19	8	0	1	0	6	0	0	15	0	15	0	52	0	0	1	1	0	0	0	11	0	0	0	10	0	0	0	0	0	1	7	3	13	1	0	138	32	0	0	25	1	0	3	1	0	0	0	2562
0	6	0	0	1	0	0	2	0	34	0	14	0	1	0	0	0	0	0	0	0	19	0	0	0	43	0	0	0	0	0	0	0	0	7	0	0	11	41	0	1	6	7	0	13	18	0	0	0	2640
1	34	0	1	15	0	3	6	0	12	0	23	0	42	0	0	0	0	1	0	7	8	0	0	0	28	0	0	0	0	0	0	0	4	16	0	0	187	19	0	0	29	5	0	3	0	0	0	0	2461
1	73	6	0	12	0	53	35	1	14	0	5	0	39	0	0	0	3	3	1	9	15	0	0	0	10	3	13	0	2	0	1	80	40	36	5	9	28	83	0	1	11	15	0	30	1	0	0	1	2400
0	44	2	2	10	0	55	33	0	39	0	17	0	40	0	0	0	1	8	1	7	9	0	0	1	5	2	1	0	0	1	0	42	33	29	6	39	25	40	0	2	12	17	0	26	0	0	0	0	2307
0	68	4	0	26	0	10	3	0	35	0	36	0	72	0	0	0	2	3	0	0	28	0	0	0	9	0	0	0	0	0	2	10	3	41	5	5	56	55	0	1	16	11	0	16	1	0	0	0	2469
1	12	18	0	51	0	8	1	0	18	1	9	0	15	1	1	3	3	8	4	1	16	0	0	5	3	1	0	0	0	0	0	19	15	21	10	0	11	60	1	1	12	17	2	23	1	0	1	0	2542
0	14	6	0	17	0	21	2	0	14	0	17	0	13	1	0	0	3	3	12	0	23	0	0	0	17	0	3	0	0	1	0	20	24	13	10	3	9	73	0	2	9	11	0	27	6	0	0	0	2572
0	0	4	0	0	0	1	0	0	24	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	80	0	0	6	7	0	6	0	0	0	0	2812
0	0	5	0	0	0	0	0	0	22	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	57	0	0	12	11	0	7	0	0	0	0	2881
0	0	5	0	2	0	1	0	0	24	2	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	40	0	0	23	3	0	12	0	0	0	1	2791
52	18	10	0	11	0	7	28	18	9	0	11	15	2	4	1	0	0	15	1	57	0	0	0	3	0	28	36	0	103	1	1	23	106	3	6	3	0	75	1	1	7	5	14	19	0	0	6	0	2221
37	34	4	1	9	0	2	19	9	7	0	3	2	0	0	0	1	2	21	1	39	1	0	0	1	0	27	9	0	92	0	1	18	52	7	4	7	2	67	3	0	6	10	10	23	0	0	0	1	2417
5	42	10	0	6	0	40	36	0	9	0	2	0	37	0	0	2	20	11	0	3	3	0	0	0	0	12	8	0	0	1	1	76	7	38	25	22	14	46	4	2	11	4	0	23	0	17	0	0	2334
0	1	1	0	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	6	1	0	0	57	0	2	17	27	0	3	0	0	0	2	2919
0	0	3	0	0	0	0	0	0	15	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	0	49	0	5	14	13	0	11	0	0	0	0	3080
0	0	3	0	0	0	0	0	0	24	0	9	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	1	49	0	2	6	10	0	14	25	0	2	0	3018
0	20	24	0	2	0	0	0	0	6	1	5	0	4	1	1	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	0	27	3	0	2	71	0	0	10	4	0	14	0	0	0	0	2659
0	51	11	0	3	2	2	4	0	17	0	3	3	2	1	0	0	4	4	1	3	7	0	0	0	0	18	7	0	9	2	0	74	33	80	17	2	39	35	1	1	12	6	1	10	0	0	1	0	2388
0	41	26	0	10	1	8	6	0	9	0	8	1	5	2	0	0	1	1	2	1	6	0	0	1	0	7	2	0	2	4	0	48	12	26	8	0	34	38	3	1	14	4	0	11	0	1	3	0	2486
